id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_allergy_user,hr.allergy.user,model_hr_allergy,hr.group_hr_user,1,1,1,1
access_hr_allergy_emp,hr.allergy.emp,model_hr_allergy,base.group_user,1,0,0,0
access_hr_document_type_user,hr.document.type.user,model_hr_document_type,hr.group_hr_user,1,1,1,1
access_hr_document_type_emp,hr.document.type.emp,model_hr_document_type,base.group_user,1,0,0,0
access_hr_document_user,hr.document.user,model_hr_document,hr.group_hr_user,1,1,1,1
access_hr_document_emp,hr.document.emp,model_hr_document,base.group_user,1,0,0,0
access_hr_employee_document_user,hr.employee.document.user,model_hr_employee_document,hr.group_hr_user,1,1,1,1
access_hr_employee_document_system_user,hr.employee.document.system.user,model_hr_employee_document,base.group_user,1,0,0,0
access_hr_illness_user,hr.illness.user,model_hr_illness,hr.group_hr_user,1,1,1,1
access_hr_illness_emp,hr.illness.emp,model_hr_illness,base.group_user,1,0,0,0
access_hr_specialty_user,hr.specialty.user,model_hr_specialty,hr.group_hr_user,1,1,1,1
access_hr_specialty_emp,hr.specialty.emp,model_hr_specialty,base.group_user,1,0,0,0
